date,trip,litres_per_100km,litres,full_price,price_per_litre,full_mileage
11/10/2021,528,7.3,39.71,719.15,18.11004785,832.8
22/10/2021,485.7,7.2,36.09,653.58,18.10972569,1318.5
23/10/2021,564.9,6.7,38.26,712.78,18.62990068,1883.4
28/11/2021,532.3,7.1,38.682,747.43,19.32242387,2415.7
01/11/2021,560.2,6.7,43.79,793.05,18.11029916,2975.9
13/11/2021,577.9,7,38.86,750.78,19.32012352,3553.8
05/12/2021,565.3,6.7,41.13,846.85,20.59,4119.1
10/12/2021,486.4,7.3,46.229,927.73,20.07,4605.5
17/01/2022,514.3,7.3,39.485,764.42,19.36,5119.8
22/01/2022,438.4,7.8,35.09,685.3,19.53,5558.2
29/01/2022,548.3,6.6,37.42,724.45,19.36,6106.5
13/02/2022,515.7,6.8,37.18,739.5,19.89,6622.2
27/02/2022,524,7.2,38.74,770.55,19.89,7146.2
09/03/2022,592.2,6.4,38.42,820.26,21.35,7738.4
19/03/2022,513.2,6.8,35.85,767.55,21.35,8251.6
21/03/2022,480,6.7,34.357,747.95,21.77,8731.6
26/03/2022,368.2,6.6,24.325,519.33,21.35,9099.8
26/03/2022,306.6,7,24.28,518.86,21.37,9406.4
03/04/2022,599.2,6.7,38.965,820.6,21.06,10005.6
04/04/2022,539.5,7,32.634,696.75,21.35,10545.1
14/04/2022,449.3,7,37.247,805.65,21.63,10994.4
04/05/2022,516.9,6.9,38.64,831.15,21.51,11511.3
16/05/2022,542.9,6.8,38.15,820.6,21.51,12054.2
31/05/2022,516,6.6,36.23,779.31,21.51,12570.2
03/06/2022,471.6,6.7,31.13,748.99,24.06,13041.8
06/06/2022,581.9,6.5,38.29,916.66,23.94,13623.7
23/06/2022,512,7,36.795,880.87,23.94,14135.7
05/07/2022,416.9,6.8,30.98,741.66,23.94,14552.6
15/07/2022,594.2,6.6,40.13,1055.8,26.31,15146.8
25/07/2022,562.7,6.9,38.225,1005.69,26.31,15709.5
04/08/2022,559.6,6.7,39.057,976.03,24.99,16269.1
07/08/2022,472.9,6.9,31.88,820.91,25.75,16742
09/08/2022,467.2,6.2,30.912,762.04,25.14,17209.2
19/08/2022,513.7,6.9,37.32,932.62,24.99,17722.9
20/08/2022,515.6,7,36.93,928.4,25.14,18238.5
30/08/2022,496.2,7.6,38.28,956.62,24.99,18734.7
03/08/2022,442.3,7.1,32.42,815.05,25.14,19177
07/09/2022,537.9,6.7,35.83,822.3,22.95,19714.9
16/09/2022,495.9,7.2,38.74,866.13,22.95,20210.8
27/09/2022,559.4,6.8,39.13,898.03,22.95,20770.2
02/10/2022,472.2,7.9,38.065,889.96,23.38,21242.4
05/10/2022,321.4,7.1,26.74,606.73,22.69,21563.8
11/10/2022,552.1,7.2,38.241,860.8,22.51,22115.9
15/10/2022,506.6,7.6,38.08,840.05,22.06,22622.5
18/10/2022,442.5,6.9,32.492,718.07,22.1,23065
22/10/2022,569.2,6.4,36.64,808.28,22.06,23634.2
03/11/2022,567.9,6.3,38.65,874.6,22.57,24202.1
21/11/2022,522,7,37.19,839.4,22.57,24724.1
30/11/2022,600.9,6.5,39.92,900.99,22.57,25325
04/12/2022,596.3,6.5,38.84,876.73,22.57,25921.3
17/12/2022,554.9,6.3,38.04,881,23.16,26476.2
17/12/2022,483.1,6.8,33.085,759.3,22.94,26959.3
23/12/2022,471.2,7,35.068,808.3,23.05,27430.5
04/01/2023,549.1,6.9,37.06,781.95,21.1,27979.6
13/01/2023,587,6.8,43.14,910.25,21.1,28566.6
25/01/2023,582.6,6.7,39.2,827.1,21.1,29149.2
01/02/2023,546.7,7,40.02,855.65,21.38,29695.9
20/02/2023,613.3,6.5,38.99,833.6,21.38,30309.2
24/02/2023,478.3,6.6,34.985,753.23,21.53,30787.5
01/03/2023,637.5,6.4,40.01,906.23,22.65,31425
15/03/2023,580.7,6.6,38.987,883.06,23.65,32005
20/03/2023,531,6.6,36.83,863.66,23.45,32536
22/03/2023,530,7,39.72,899.65,22.65,33066
25/03/2023,574.7,6.4,35.38,790.74,22.35,33641
02/04/2023,444.2,7.6,35.44,804.13,22.69,34085.2
11/04/2023,564.1,6.7,38.23,878.14,22.97,34650
22/04/2023,555.1,6.6,36.74,831.8,22.64,35025
11/05/2023,530,6.9,40.39,929.35,23.01,35735
25/05/2023,588.2,6.3,38.2,879,23.01,36323
11/06/2023,576.3,6.9,40.12,894.7,22.3,36899
21/06/2023,611.8,6.5,38.99,869.48,22.3,37511